7.0,45.0,7.0,1,4.0,116.0,4.0,0.5,230.5,0.5,0,1,11.0,171.0,11.0,0
8.0,45.0,12.0,1,8.0,116.0,7.0,1.5,230.5,1.5,0,1,12.0,171.0,13.0,0
10.0,48.0,10.0,1,10.0,110.0,10.0,1.5,232.5,1.5,0,1,13.0,169.0,13.0,0
1.0,39.0,1.0,1,16.0,136.0,16.0,4.0,227.0,4.0,0,1,0.5,181.5,0.5,0
2.0,39.0,2.0,1,17.0,136.0,21.0,6.0,227.0,7.0,0,1,3.5,181.5,3.5,0
4.0,39.0,3.0,1,17.0,136.0,19.0,6.0,227.0,7.0,0,1,2.5,181.5,1.5,0
7.5,59.5,7.5,1,4.0,116.0,4.0,3.5,233.5,3.5,0,1,44.5,115.5,44.5,0
10.5,59.5,8.5,1,7.0,116.0,6.0,8.5,233.5,5.5,0,1,49.5,115.5,48.5,0
10.5,59.5,10.5,1,7.0,116.0,5.0,5.5,233.5,7.5,0,1,49.5,115.5,45.5,0
3.0,55.0,3.0,1,6.0,106.0,6.0,2.0,232.0,2.0,0,1,2.0,158.0,2.0,0
6.0,55.0,6.0,1,7.0,106.0,10.0,6.0,232.0,7.0,0,1,6.0,158.0,4.0,0
6.0,55.0,4.0,1,8.0,106.0,10.0,7.0,232.0,3.0,0,1,3.0,158.0,3.0,0
3.0,55.0,3.0,1,17.0,129.0,17.0,6.0,224.0,6.0,0,1,27.5,132.5,27.5,0
4.0,55.0,6.0,1,21.0,129.0,19.0,8.0,224.0,10.0,0,1,31.5,132.5,28.5,0
6.0,55.0,7.0,1,21.0,129.0,21.0,8.0,224.0,8.0,0,1,28.5,132.5,31.5,0
2.5,54.5,2.5,1,6.0,118.0,6.0,15.5,245.5,15.5,0,1,9.5,150.5,9.5,0
3.5,54.5,3.5,1,9.0,118.0,9.0,20.5,245.5,18.5,0,1,12.5,150.5,13.5,0
4.5,54.5,7.5,1,7.0,118.0,7.0,20.5,245.5,16.5,0,1,13.5,150.5,14.5,0
3.0,49.0,3.0,1,14.0,126.0,14.0,40.5,270.5,40.5,0,1,20.0,140.0,20.0,0
3.5,55.5,3.5,1,11.0,123.0,11.0,13.0,217.0,13.0,0,1,1.0,161.0,1.0,0
5.5,55.5,7.5,1,14.0,123.0,14.0,14.0,217.0,15.0,0,1,6.0,161.0,5.0,0
4.5,55.5,6.5,1,16.0,123.0,12.0,15.0,217.0,15.0,0,1,4.0,161.0,6.0,0
2.5,54.5,2.5,1,1.0,111.0,1.0,52.5,282.5,52.5,0,1,8.5,151.5,8.5,0
4.5,54.5,6.5,1,4.0,111.0,2.0,55.5,282.5,53.5,0,1,10.5,151.5,9.5,0
4.5,56.5,4.5,1,18.0,130.0,18.0,13.5,216.5,13.5,0,1,0.5,160.5,0.5,0
9.5,56.5,9.5,1,21.0,130.0,21.0,14.5,216.5,16.5,0,1,4.5,160.5,1.5,0
3.0,55.0,3.0,1,1.0,113.0,1.0,44.0,274.0,44.0,0,1,10.0,150.0,10.0,0
8.0,55.0,4.0,1,3.0,113.0,4.0,47.0,274.0,49.0,0,1,11.0,150.0,13.0,0
6.0,55.0,4.0,1,5.0,113.0,4.0,46.0,274.0,48.0,0,1,14.0,150.0,14.0,0
4.0,48.0,4.0,1,4.0,116.0,4.0,30.5,199.5,30.5,0,1,8.0,152.0,8.0,0
3.5,48.5,3.5,1,1.0,111.0,1.0,17.0,247.0,17.0,0,1,14.0,146.0,14.0,0
5.5,48.5,6.5,1,4.0,111.0,4.0,18.0,247.0,20.0,0,1,19.0,146.0,15.0,0
2.5,54.5,2.5,1,9.0,121.0,9.0,49.5,180.5,49.5,0,1,22.5,137.5,22.5,0
4.5,54.5,5.5,1,12.0,121.0,10.0,51.5,180.5,51.5,0,1,23.5,137.5,23.5,0
6.0,60.0,6.0,1,1.0,111.0,1.0,3.0,209.0,3.0,0,0,12.0,120.0,12.0,0
8.0,60.0,8.0,1,3.0,111.0,3.0,5.0,209.0,6.0,0,0,13.0,120.0,15.0,0
9.0,60.0,7.0,1,3.0,111.0,2.0,8.0,209.0,8.0,0,0,16.0,120.0,15.0,0
2.5,51.5,2.5,1,4.0,114.0,4.0,28.5,177.5,28.5,0,0,9.0,117.0,9.0,0
6.5,51.5,5.5,1,6.0,114.0,6.0,29.5,177.5,32.5,0,0,10.0,117.0,13.0,0
3.5,51.5,6.5,1,5.0,114.0,7.0,30.5,177.5,33.5,0,0,12.0,117.0,14.0,0
5.0,54.0,4.0,1,9.0,116.0,11.0,43.0,246.0,45.0,0,0,6.0,112.0,5.0,0
2.0,54.0,5.0,1,11.0,116.0,9.0,42.0,246.0,44.0,0,0,9.0,112.0,9.0,0
3.5,50.5,3.5,1,0.0,110.0,0.0,34.5,240.5,34.5,0,0,5.0,113.0,5.0,0
4.5,50.5,7.5,1,5.0,110.0,4.0,38.5,240.5,35.5,0,0,10.0,113.0,10.0,0
4.5,50.5,7.5,1,2.0,110.0,2.0,36.5,240.5,36.5,0,0,10.0,113.0,8.0,0
3.5,57.5,3.5,1,14.0,124.0,14.0,20.0,186.0,20.0,0,0,8.5,116.5,8.5,0
8.5,57.5,5.5,1,17.0,124.0,17.0,24.0,186.0,22.0,0,0,11.5,116.5,9.5,0
7.5,57.5,6.5,1,19.0,124.0,19.0,21.0,186.0,24.0,0,0,10.5,116.5,13.5,0
4.5,58.5,4.5,1,15.0,125.0,15.0,9.5,196.5,9.5,0,0,18.0,126.0,18.0,0
6.5,58.5,6.5,1,20.0,125.0,19.0,12.5,196.5,14.5,0,0,19.0,126.0,21.0,0
